area_code,city,state_code
201,Bayonne,NJ
201,Bergenfield,NJ
201,Cliffside Park,NJ
201,Englewood,NJ
201,Fair Lawn,NJ
201,Fort Lee,NJ
201,Hackensack,NJ
201,Hoboken,NJ
201,Jersey City,NJ
201,Kearny,NJ
201,North Bergen,NJ
201,Paramus,NJ
201,Ridgewood,NJ
201,Teaneck,NJ
201,Union City,NJ
201,West New York,NJ
202,Washington,DC
203,Bridgeport,CT
203,Danbury,CT
203,East Haven,CT
203,Meriden,CT
203,Milford,CT
203,Naugatuck,CT
203,New Haven,CT
203,North Haven,CT
203,Norwalk,CT
203,Shelton,CT
203,Stamford,CT
203,Stratford,CT
203,Trumbull,CT
203,Waterbury,CT
203,West Haven,CT
203,Westport,CT
205,Alabaster,AL
205,Bessemer,AL
205,Birmingham,AL
205,Center Point,AL
205,Homewood,AL
205,Hoover,AL
205,Mountain Brook,AL
205,Tuscaloosa,AL
205,Vestavia Hills,AL
206,Bainbridge Island,WA
206,Burien,WA
206,Des Moines,WA
206,Mercer Island,WA
206,Seattle,WA
206,Shoreline,WA
206,White Center,WA
207,Auburn,ME
207,Augusta,ME
207,Bangor,ME
207,Biddeford,ME
207,Brunswick,ME
207,Lewiston,ME
207,South Portland,ME
208,Boise,ID
208,Caldwell,ID
208,Coeur d'Alene,ID
208,Idaho Falls,ID
208,Lewiston,ID
208,Meridian,ID
208,Moscow,ID
208,Nampa,ID
208,Pocatello,ID
208,Twin Falls,ID
209,Atwater,CA
209,Ceres,CA
209,Lodi,CA
209,Los Banos,CA
209,Manteca,CA
209,Merced,CA
209,West Modesto,CA
209,Stockton,CA
209,Tracy,CA
209,Turlock,CA
210,San Antonio,TX
212,New York City,NY
213,Los Angeles,CA
214,Allen,TX
214,Arlington,TX
214,Carrollton,TX
214,Cedar Hill,TX
214,Coppell,TX
214,Dallas,TX
214,DeSoto,TX
214,Duncanville,TX
214,Farmers Branch,TX
214,Flower Mound,TX
214,Frisco,TX
214,Garland,TX
214,Grand Prairie,TX
214,Irving,TX
214,Lancaster,TX
214,Lewisville,TX
214,McKinney,TX
214,Mesquite,TX
214,Plano,TX
214,Richardson,TX
214,Rowlett,TX
214,The Colony,TX
214,University Park,TX
214,Waxahachie,TX
215,Levittown,PA
215,Philadelphia,PA
216,Brook Park,OH
216,East Cleveland,OH
216,Cleveland Heights,OH
216,South Euclid,OH
216,Garfield Heights,OH
216,Lakewood,OH
216,Maple Heights,OH
216,Parma,OH
216,Shaker Heights,OH
217,Champaign,IL
217,Charleston,IL
217,Danville,IL
217,Decatur,IL
217,Quincy,IL
217,Springfield,IL
217,Urbana,IL
218,Andover,MN
218,Duluth,MN
218,Moorhead,MN
219,East Chicago,IN
219,Gary,IN
219,Hammond,IN
219,Highland,IN
219,Hobart,IN
219,LaPorte,IN
219,Merrillville,IN
219,Michigan City,IN
219,Munster,IN
219,Portage,IN
219,Schererville,IN
219,Valparaiso,IN
220,Athens,OH
220,Chillicothe,OH
220,Delaware,OH
220,Lancaster,OH
220,Marion,OH
220,Newark,OH
220,Portsmouth,OH
220,Zanesville,OH
224,Algonquin,IL
224,Arlington Heights,IL
